CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned
614,France,Male,51,4,40685.92,1,1,1,46775.28,4,PLATINUM,954
742,Germany,Male,35,5,136857,1,0,0,84509.57,4,GOLD,823
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,5,DIAMOND,769
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,5,PLATINUM,481
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,4,SILVER,903
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,3,PLATINUM,882
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,5,GOLD,379
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,3,PLATINUM,469
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,3,PLATINUM,683
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,1,GOLD,770
675,France,Female,21,8,98373.26,1,1,0,18203,5,SILVER,985
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,4,GOLD,725
813,France,Male,29,6,0,1,1,0,33953.87,3,PLATINUM,259
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,2,GOLD,979
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,2,SILVER,988
519,France,Male,36,9,0,2,0,1,145562.4,2,PLATINUM,833
735,France,Female,21,1,178718.19,2,1,0,22388,1,PLATINUM,527
664,France,Male,55,8,0,2,1,1,139161.64,5,SILVER,220
678,France,Female,32,9,0,1,1,1,148210.64,4,GOLD,983
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,3,SILVER,582
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,3,SILVER,281
665,France,Female,34,1,96645.54,2,0,0,171413.66,3,DIAMOND,798
777,France,Female,32,2,0,1,1,0,136458.19,5,SILVER,917
543,France,Female,36,3,0,2,0,0,26019.59,2,DIAMOND,255
506,France,Female,34,4,90307.62,1,1,1,159235.29,4,SILVER,511
493,France,Female,46,4,0,2,1,0,1907.66,1,SILVER,498
652,Spain,Female,75,10,0,2,1,1,114675.75,5,DIAMOND,651
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,2,SILVER,852
729,France,Male,30,9,0,2,1,0,151869.35,1,DIAMOND,807
646,France,Female,46,4,0,3,1,0,93251.42,3,PLATINUM,470
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,1,DIAMOND,659
647,Spain,Female,44,5,0,3,1,1,174205.22,3,DIAMOND,752
808,France,Male,45,7,118626.55,2,1,0,147132.46,1,SILVER,559
524,France,Female,36,10,0,2,1,0,109614.57,2,GOLD,375
769,France,Male,29,8,0,2,1,1,172290.61,2,DIAMOND,411
730,Spain,Male,42,4,0,2,0,1,85982.47,4,DIAMOND,722
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,1,GOLD,231
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,5,DIAMOND,488
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,2,GOLD,965
710,Spain,Male,22,8,0,2,0,0,99645.04,4,SILVER,289
413,France,Male,34,9,0,2,0,0,6534.18,1,PLATINUM,449
665,France,Female,40,6,0,1,1,1,161848.03,2,SILVER,651
623,France,Female,44,6,0,2,0,0,167162.43,2,DIAMOND,520
738,France,Male,31,9,82674.15,1,1,0,41970.72,4,DIAMOND,234
528,Spain,Male,36,7,0,2,1,0,60536.56,5,SILVER,458
670,Spain,Female,65,1,0,1,1,1,177655.68,2,GOLD,915
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,3,GOLD,299
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,4,GOLD,838
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,5,PLATINUM,786
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,3,DIAMOND,509
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,3,DIAMOND,328
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,4,SILVER,347
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,5,SILVER,534
562,France,Male,42,2,100238.35,1,0,0,86797.41,5,PLATINUM,709
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,4,SILVER,749
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,5,PLATINUM,541
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,2,GOLD,736
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,4,SILVER,529
506,France,Female,41,1,0,2,1,0,31766.3,4,GOLD,594
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,SILVER,462
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,3,PLATINUM,429
828,France,Male,34,8,129433.34,2,0,0,38131.77,4,SILVER,370
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,1,PLATINUM,510
656,France,Female,39,6,0,2,1,0,141069.88,4,DIAMOND,638
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,1,GOLD,462
625,France,Female,28,3,0,1,0,0,183646.41,4,GOLD,718
432,France,Male,42,9,152603.45,1,1,0,110265.24,3,DIAMOND,437
549,France,Female,52,1,0,1,0,1,8636.05,4,DIAMOND,485
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,3,PLATINUM,410
828,France,Female,41,7,0,2,1,0,171378.77,2,PLATINUM,666
770,France,Male,24,9,101827.07,1,1,0,167256.35,4,GOLD,730
758,France,Female,34,3,0,2,1,1,124226.16,2,PLATINUM,375
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,5,GOLD,411
687,France,Male,38,9,122570.87,1,1,1,35608.88,4,DIAMOND,595
686,France,Male,25,1,0,2,0,1,16459.37,1,DIAMOND,578
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,2,PLATINUM,377
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,2,GOLD,831
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,1,SILVER,497
637,France,Male,40,2,133463.1,1,0,1,93165.34,1,PLATINUM,374
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,4,DIAMOND,814
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,4,GOLD,247
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,5,PLATINUM,965
663,France,Male,34,7,0,2,1,1,180427.24,3,SILVER,912
682,France,Female,43,5,125851.93,1,1,1,193318.33,4,GOLD,462
793,Spain,Male,52,2,0,1,1,0,159123.82,5,GOLD,883
691,France,Female,31,5,40915.55,1,1,0,126213.84,2,SILVER,402
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,4,GOLD,764
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,1,PLATINUM,608
650,France,Male,37,5,106967.18,1,0,0,24495.03,5,PLATINUM,652
735,France,Male,44,9,120681.63,1,1,0,74836.34,2,SILVER,520
416,France,Male,32,0,0,2,0,1,878.87,5,GOLD,884
754,Spain,Female,32,7,0,2,1,0,89520.75,1,SILVER,800
535,France,Female,48,9,0,1,1,0,149892.79,4,GOLD,697
716,Spain,Male,42,8,0,2,1,0,180800.42,2,SILVER,427
539,France,Male,37,2,127609.59,1,1,0,98646.22,1,DIAMOND,620
614,France,Female,43,6,0,2,1,1,109041.53,1,PLATINUM,318
706,Spain,Male,57,7,0,1,1,0,17941.16,1,GOLD,701
758,France,Female,33,7,0,2,0,0,82996.47,4,PLATINUM,953
586,Spain,Female,28,2,0,2,1,1,92067.35,5,PLATINUM,635
646,France,Female,73,6,97259.25,1,0,1,104719.66,1,PLATINUM,250
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,3,SILVER,662
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,2,GOLD,666
684,France,Male,30,2,0,2,1,0,83473.82,4,DIAMOND,699
800,France,Female,49,7,108007.36,1,0,0,47125.11,3,PLATINUM,855
721,Spain,Female,36,2,0,2,1,1,106977.8,5,SILVER,534
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,PLATINUM,388
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,5,GOLD,612
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,2,PLATINUM,801
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,1,PLATINUM,561
667,Spain,Female,39,2,0,2,1,0,40721.24,5,PLATINUM,308
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,5,SILVER,643
484,France,Female,29,4,130114.39,1,1,0,164017.89,1,GOLD,249
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,2,SILVER,818
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,GOLD,775
578,France,Male,30,4,169462.09,1,1,0,112187.11,5,DIAMOND,872
512,France,Male,40,5,0,2,1,1,146457.83,3,DIAMOND,435
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,2,SILVER,415
510,France,Female,30,0,0,2,1,1,130553.47,2,DIAMOND,430
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,5,PLATINUM,929
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,5,SILVER,681
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,4,GOLD,810
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,5,GOLD,739
510,France,Male,65,2,0,2,1,1,48071.61,1,SILVER,280
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,2,DIAMOND,250
636,France,Male,42,2,0,2,1,1,55470.78,4,PLATINUM,991
804,France,Female,50,4,0,1,1,1,8546.87,2,GOLD,482
514,France,Male,32,8,0,2,1,0,95857.18,4,PLATINUM,423
730,France,Female,39,1,99010.67,1,1,0,194945.8,5,GOLD,260
525,Spain,Female,37,0,0,1,0,1,131521.72,5,SILVER,642
616,Spain,Male,30,5,0,2,0,1,196108.51,4,PLATINUM,701
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,4,GOLD,570
715,France,Female,41,8,56214.85,2,0,0,92982.61,4,GOLD,790
512,France,Female,36,3,84327.77,2,1,0,17675.36,5,PLATINUM,727
479,France,Male,40,1,0,2,0,0,114996.43,3,SILVER,909
601,France,Male,32,8,93012.89,1,1,0,86957.42,2,GOLD,799
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,1,DIAMOND,520
807,France,Male,35,3,174790.15,1,1,1,600.36,3,SILVER,861
616,Spain,Female,32,6,0,2,1,1,43001.46,5,GOLD,512
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,1,PLATINUM,478
501,France,Male,57,10,0,2,1,1,47847.19,5,PLATINUM,374
521,France,Male,35,6,96423.84,1,1,0,10488.44,4,PLATINUM,280
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,2,DIAMOND,615
759,France,Male,42,4,105420.18,1,0,1,121409.06,3,GOLD,435
516,Spain,Male,50,5,0,1,0,1,146145.93,5,GOLD,509
711,France,Female,38,2,129022.06,2,1,1,14374.86,4,DIAMOND,321
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,1,PLATINUM,726
550,France,Male,37,3,0,1,1,1,179670.31,3,GOLD,516
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,3,PLATINUM,639
618,France,Male,34,5,134954.53,1,1,1,151954.39,2,SILVER,512
643,France,Male,45,5,0,1,1,0,142513.5,3,GOLD,730
671,France,Male,45,2,106376.85,1,0,1,158264.62,3,DIAMOND,244
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,3,PLATINUM,292
603,France,Male,31,8,0,2,1,1,169915.02,3,GOLD,245
620,France,Female,41,9,0,2,0,0,88852.47,3,DIAMOND,848
676,France,Female,34,1,63095.01,1,1,1,40645.81,3,SILVER,974
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,4,DIAMOND,958
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,3,GOLD,629
695,France,Male,46,7,49512.55,1,1,0,133007.34,3,DIAMOND,310
730,Spain,Female,33,9,0,2,0,0,176576.62,1,SILVER,621
807,France,Male,43,1,105799.32,2,1,0,34888.04,4,DIAMOND,924
592,France,Male,54,8,0,1,1,1,28737.71,2,PLATINUM,359
726,France,Female,31,9,114722.05,2,1,1,98178.57,5,SILVER,811
514,Spain,Male,30,7,0,1,0,1,125010.24,4,DIAMOND,583
567,France,Male,42,2,0,2,1,1,167984.61,5,SILVER,959
850,France,Male,33,10,0,1,1,0,4861.72,1,SILVER,359
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,3,PLATINUM,901
670,France,Male,37,4,170557.91,2,1,0,198252.88,5,GOLD,729
694,France,Female,30,9,0,2,1,1,26960.31,5,DIAMOND,829
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,4,SILVER,790
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,2,DIAMOND,756
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,4,GOLD,873
673,France,Male,72,1,0,2,0,1,111981.19,3,SILVER,865
610,France,Male,40,0,0,2,1,0,62232.6,5,GOLD,690
512,France,Female,37,1,0,2,0,1,156105.03,4,PLATINUM,722
767,Germany,Male,20,3,119714.25,2,0,1,150135.38,4,DIAMOND,535
585,France,Female,67,5,113978.97,2,0,1,93146.11,5,SILVER,580
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,3,GOLD,709
712,France,Female,29,2,0,1,1,1,144375,4,GOLD,930
539,Germany,Female,43,3,116220.5,3,1,0,55803.96,4,DIAMOND,264
668,France,Female,46,2,0,3,1,0,89048.46,1,DIAMOND,943
703,France,Male,28,2,81173.83,2,0,1,162812.16,2,PLATINUM,388
662,Spain,Male,38,4,0,2,1,0,136259.65,5,GOLD,248
725,Germany,Female,39,5,116803.8,1,1,0,124052.97,2,GOLD,763
703,France,Male,37,8,105961.68,2,0,1,74158.8,1,DIAMOND,619
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,2,SILVER,815
523,Spain,Male,34,7,0,2,1,0,62030.06,4,DIAMOND,566
635,France,Female,40,10,123497.58,1,1,0,131953.23,5,GOLD,774
772,Germany,Male,26,7,152400.51,2,1,0,79414,1,PLATINUM,695
545,France,Female,26,1,0,2,1,1,199638.56,5,PLATINUM,902
634,Germany,Male,24,8,103097.85,1,1,1,157577.29,2,GOLD,532
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,2,DIAMOND,718
771,Germany,Female,36,5,77846.9,1,0,0,99805.99,5,PLATINUM,895
587,Spain,Female,34,1,0,2,1,1,97932.68,4,DIAMOND,749
681,France,Female,79,0,0,2,0,1,170968.99,5,DIAMOND,333
544,Germany,Male,37,2,79731.91,1,1,1,57558.95,4,DIAMOND,866
696,Spain,Male,28,8,0,1,0,0,176713.47,3,SILVER,671
766,Spain,Male,41,0,0,2,0,1,34283.23,4,GOLD,670
727,France,Male,34,10,0,2,1,1,198637.34,4,GOLD,768
671,Germany,Female,34,6,37266.67,2,0,0,156917.12,3,SILVER,565
693,France,Female,30,6,127992.25,1,1,1,50457.2,1,SILVER,483
850,Germany,Male,38,3,54901.01,1,1,1,140075.55,2,GOLD,926
732,Germany,Male,42,9,108748.08,2,1,1,65323.11,1,DIAMOND,932
726,Spain,Female,48,6,99906.19,1,1,0,64323.24,4,DIAMOND,901
557,France,Female,32,6,184686.41,2,1,0,14956.44,3,GOLD,299
682,France,Female,26,0,110654.02,1,0,1,111879.21,2,PLATINUM,899
738,Spain,Male,31,9,79019.8,1,1,1,18606.23,4,PLATINUM,467
531,Spain,Female,36,9,99240.51,1,1,0,123137.01,1,PLATINUM,717
498,France,Male,34,2,0,2,1,1,148528.24,1,DIAMOND,549
651,France,Male,36,7,0,2,1,0,13898.31,1,GOLD,545
549,Spain,Female,39,7,0,1,0,0,81259.25,2,GOLD,716
791,Germany,Female,35,7,52436.2,1,1,0,161051.75,2,SILVER,650
650,Spain,Male,41,9,0,2,0,1,191599.67,4,PLATINUM,693
733,Germany,Male,34,3,100337.96,3,1,0,48559.19,4,PLATINUM,759
811,Germany,Female,34,1,149297.19,2,1,1,186339.74,2,GOLD,946
707,France,Male,30,8,0,2,1,0,33159.37,5,GOLD,402
712,Germany,Male,28,4,145605.44,1,0,1,93883.53,3,PLATINUM,465
706,Spain,Female,37,7,0,2,1,1,110899.3,1,GOLD,799
756,France,Male,62,3,0,1,1,1,11199.04,3,SILVER,600
777,France,Female,53,10,0,2,1,0,189992.97,2,PLATINUM,306
646,France,Male,35,6,84026.86,1,0,1,164255.69,3,SILVER,635
714,France,Male,46,1,0,1,1,0,152167.79,2,PLATINUM,747
782,France,Male,39,8,0,2,1,1,33949.67,3,PLATINUM,424
775,Spain,Male,29,10,0,2,1,1,68143.93,2,DIAMOND,913
479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1,GOLD,751
807,France,Male,42,7,118274.71,1,1,1,25885.72,3,DIAMOND,899
799,France,Female,22,8,174185.98,2,0,1,192633.85,3,PLATINUM,219
675,France,Male,40,7,113208.86,2,1,0,34577.36,3,SILVER,587
602,Spain,Male,29,5,103907.28,1,1,0,161229.84,2,SILVER,861
475,France,Female,32,8,119023.28,1,1,0,100816.29,1,PLATINUM,278
744,Spain,Female,26,5,166297.89,1,1,1,181694.44,1,PLATINUM,526
588,Spain,Male,34,10,0,2,1,0,79078.91,2,PLATINUM,632
703,Germany,Male,42,9,63227,1,0,1,137316.32,3,SILVER,301
747,Spain,Female,41,5,94521.17,2,1,0,194926.86,1,DIAMOND,806
583,France,Male,27,7,0,2,1,0,51285.49,1,PLATINUM,250
750,Spain,Female,34,9,112822.26,1,0,0,150401.53,2,PLATINUM,563
681,France,Male,38,3,0,2,1,1,112491.96,1,DIAMOND,861
773,France,Male,25,2,135903.33,1,1,0,73656.38,4,PLATINUM,790
714,France,Female,31,4,125169.26,1,1,1,106636.89,3,PLATINUM,669
687,Spain,Female,44,7,0,3,1,0,155853.52,2,SILVER,336
511,France,Male,58,0,149117.31,1,1,1,162599.51,1,GOLD,517
627,France,Male,33,5,0,2,1,1,103737.82,4,PLATINUM,499
694,France,Female,31,10,0,2,1,0,160990.27,3,SILVER,673
616,Spain,Female,36,6,132311.71,1,0,0,15462.84,2,SILVER,268
687,France,Male,35,8,0,2,1,0,10334.05,5,PLATINUM,809
712,France,Female,33,6,0,2,1,1,190686.16,5,GOLD,460
553,France,Male,33,4,118082.89,1,0,0,94440.45,4,SILVER,221
667,France,Male,31,1,119266.69,1,1,1,28257.63,2,SILVER,730
731,France,Male,43,2,0,1,1,1,170034.95,2,DIAMOND,777
629,Germany,Male,35,7,156847.29,2,1,0,31824.29,4,SILVER,837
614,France,Male,50,4,137104.47,1,1,0,127166.49,1,DIAMOND,958
438,Germany,Male,31,8,78398.69,1,1,0,44937.01,4,PLATINUM,809
652,France,Female,80,4,0,2,1,1,188603.07,1,GOLD,662
729,Germany,Male,30,6,63669.42,1,1,0,145111.37,2,GOLD,484
642,France,Male,38,3,0,2,0,0,171463.83,2,GOLD,737
806,Germany,Female,59,0,135296.33,1,1,0,182822.5,1,SILVER,486
744,Spain,Male,36,2,153804.44,1,1,1,87213.33,3,SILVER,252
474,Spain,Male,37,3,0,2,0,0,57175.32,4,SILVER,275
559,France,Male,49,2,147069.78,1,1,0,120540.83,1,DIAMOND,245
706,Spain,Male,42,9,0,2,1,1,28714.34,4,PLATINUM,361
628,Spain,Female,22,3,0,1,1,0,85426.28,4,DIAMOND,483
429,France,Male,24,4,95741.75,1,1,0,46170.75,2,GOLD,352
525,Spain,Female,57,2,145965.33,1,1,1,64448.36,5,PLATINUM,337
680,France,Female,30,8,141441.75,1,1,1,16278.97,1,SILVER,597
749,France,Male,40,1,139290.41,1,1,0,182855.42,1,SILVER,381
763,France,Female,31,4,0,2,0,0,50404.72,3,PLATINUM,668
734,France,Male,30,3,0,2,1,0,107640.25,4,DIAMOND,245
716,France,Male,35,4,144428.87,1,1,0,134132.65,2,PLATINUM,495
594,France,Male,35,2,0,2,1,0,103480.69,4,DIAMOND,378
644,France,Female,46,9,95441.27,1,1,0,108761.05,1,SILVER,568
671,Germany,Male,35,1,144848.74,1,1,1,179012.3,5,PLATINUM,731
664,Germany,Male,26,7,116244.14,2,1,1,95145.14,2,GOLD,837
656,France,Male,50,7,0,2,0,1,72143.44,1,GOLD,829
667,Spain,Female,40,1,146502.07,1,1,0,19162.89,3,DIAMOND,230
663,Germany,Male,44,2,117028.6,2,0,1,144680.18,4,DIAMOND,919
584,Germany,Female,30,8,112013.81,1,1,0,177772.03,4,PLATINUM,641
626,Spain,Female,37,6,108269.37,1,1,0,5597.94,2,DIAMOND,457
485,France,Male,29,7,182123.79,1,1,0,116828.51,4,GOLD,583
659,Germany,Female,32,3,150923.74,2,0,1,174652.51,2,PLATINUM,849
649,France,Male,33,2,0,2,1,0,2010.98,3,DIAMOND,720
805,Spain,Female,39,5,165272.13,1,1,0,14109.85,3,SILVER,317
716,Germany,Female,39,10,115301.31,1,1,0,43527.4,5,DIAMOND,465
642,Germany,Female,40,6,129502.49,2,0,1,86099.23,4,GOLD,269
659,France,Male,31,4,118342.26,1,0,0,161574.19,3,SILVER,391
545,Spain,Female,47,5,0,2,1,1,38970.14,4,PLATINUM,373
543,France,Male,22,8,0,2,0,0,127587.22,3,PLATINUM,251
718,France,Female,25,7,0,2,1,0,30380.12,2,PLATINUM,237
840,France,Female,43,7,0,2,1,0,90908.95,2,SILVER,645
630,Germany,Female,34,9,106937.05,2,1,0,138275.01,3,SILVER,624
643,Germany,Male,59,3,170331.37,1,1,1,32171.79,5,PLATINUM,838
654,Germany,Female,32,1,114510.85,1,1,1,126143.23,4,GOLD,224
582,France,Male,39,5,0,2,1,1,129892.93,4,DIAMOND,343
659,Spain,Male,32,3,107594.11,2,1,1,102416.84,3,DIAMOND,683
762,Spain,Male,39,2,81273.13,1,1,1,18719.67,5,GOLD,929
568,Spain,Female,32,7,169399.6,1,1,0,61936.22,4,PLATINUM,234
670,Spain,Male,25,6,0,2,1,1,78358.94,3,DIAMOND,723
613,France,Female,45,1,187841.99,2,1,1,147224.27,1,PLATINUM,482
539,France,Male,30,0,0,2,1,0,160979.66,4,DIAMOND,231
850,Spain,Female,57,8,126776.3,2,1,1,132298.49,3,GOLD,244
522,Spain,Male,34,9,126436.29,1,1,0,174248.52,3,GOLD,973
737,France,Male,41,1,101960.74,1,1,1,123547.28,5,SILVER,463
520,France,Male,58,3,0,2,0,1,32790.02,5,DIAMOND,253
706,Spain,Male,28,3,0,2,0,1,181543.67,3,SILVER,241
643,Germany,Female,45,2,150842.93,1,0,1,2319.96,5,PLATINUM,537
648,France,Female,50,9,102535.57,1,1,1,189543.19,5,DIAMOND,332
443,Germany,Female,29,9,99027.61,2,1,0,10940.4,5,PLATINUM,390
640,France,Male,68,9,0,2,1,1,199493.38,4,PLATINUM,763
628,Spain,Female,33,3,0,1,1,1,188193.25,4,GOLD,240
540,Germany,Female,42,9,87271.41,2,1,0,172572.64,1,PLATINUM,978
460,Germany,Female,35,8,102742.91,2,1,1,189339.6,5,DIAMOND,366
636,Germany,Male,34,2,40105.51,2,0,1,53512.16,3,DIAMOND,356
593,France,Female,29,2,152265.43,1,1,0,34004.44,1,SILVER,907
801,Spain,Male,42,4,141947.67,1,1,1,10598.29,3,SILVER,687
640,Germany,Female,75,1,106307.91,2,0,1,113428.77,2,PLATINUM,703
611,Germany,Male,31,0,107884.81,2,1,1,183487.98,2,DIAMOND,388
802,Germany,Male,31,1,125013.72,1,1,1,187658.09,2,DIAMOND,579
